country,region,ladder_score,GDP,social_support,healthy_life_exp,life_choice_freedom,Generosity,perception_of_corruption
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.0,0.752,0.08199999999999999,0.7609999999999999
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731
Madagascar,Sub-Saharan Africa,4.208,7.396,0.6859999999999999,59.305,0.552,-0.005,0.8029999999999999
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.913999999999994,0.619,0.032,0.772
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823
Sierra Leone,Sub-Saharan Africa,3.8489999999999998,7.434,0.63,51.651,0.7170000000000001,0.084,0.866
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607
Yemen,Middle East and North Africa,3.658,7.577999999999999,0.8320000000000001,57.122,0.602,-0.147,0.8
Tanzania,Sub-Saharan Africa,3.623,7.876,0.7020000000000001,57.998999999999995,0.833,0.183,0.5770000000000001
Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.42200000000000004,0.721
Malawi,Sub-Saharan Africa,3.6,6.957999999999999,0.537,57.948,0.78,0.038,0.7290000000000001
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.8240000000000001,-0.24600000000000002,0.8009999999999999
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.16699999999999998
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821
Afghanistan,South Asia,2.523,7.695,0.46299999999999997,52.493,0.382,-0.102,0.924
